,,,-121,"Wpłata/wypłata bankowa","PRZELEW SEPA PRZYCHODZĽCY"," !! ZZ28966ZZ ZAMOWIENIE ZALICZKA ",2022-01-13
,,,-1355,"Wpłata/wypłata bankowa","PRZELEW SEPA PRZYCHODZĽCY"," !! ZZ30827ZZ ZAMOWIENIE ZALICZKA ",2022-01-13
,,,-388,"Wpłata/wypłata bankowa","PRZELEW SEPA PRZYCHODZĽCY"," !! ZZ36396ZZ ZAMOWIENIE ZALICZKA ",2022-01-13
,,,-27,"Wpłata/wypłata bankowa","PRZELEW SEPA PRZYCHODZĽCY"," !! ZZ31209ZZ ZAMOWIENIE ZALICZKA ",2022-01-13
,,,-138.4,"Wpłata/wypłata bankowa","PRZELEW SEPA PRZYCHODZĽCY"," !! ZZ44392ZZ ZAMOWIENIE ZALICZKA ",2022-01-13
,,,-140.97,"Wpłata/wypłata bankowa","PRZELEW SEPA PRZYCHODZĽCY"," !! ZZ43772ZZ ZAMOWIENIE ZALICZKA ",2022-01-13
,,,-87.8,"Wpłata/wypłata bankowa","PRZELEW SEPA PRZYCHODZĽCY"," !! ZZ44130ZZ ZAMOWIENIE ZALICZKA ",2022-01-13
,,,-88.8,"Wpłata/wypłata bankowa","PRZELEW SEPA PRZYCHODZĽCY"," !! ZZ57393ZZ ZAMOWIENIE ZALICZKA ",2022-01-13
,,,-651.6,"Wpłata/wypłata bankowa","PRZELEW SEPA PRZYCHODZĽCY"," !! ZZ57935ZZ ZAMOWIENIE ZALICZKA ",2022-01-13
,,,0,"Wpłata/wypłata bankowa","OTWARCIE RACHUNKU",,2022-01-10
,,,42151.68,"Wpłata/wypłata bankowa","PRZELEW SEPA PRZYCHODZĽCY"," !! QQ24508QQ ZAMOWIENIE ZALICZKA 24508",2022-01-13
,,,42000,"Wpłata/wypłata bankowa","PRZELEW WŁASNY","ZA FAKTURE NR 1",2022-01-13
,,,100000,"Wpłata/wypłata bankowa","PRZELEW EXPRESS ELIXIR PRZYCH.","Przelew rodków",2022-01-20
,,,100000,"Wpłata/wypłata bankowa","PRZELEW WŁASNY",PRZELEW,2022-01-20
,,,35900,"Wpłata/wypłata bankowa","PRZELEW EXPRESS ELIXIR PRZYCH.","Przelew rodków",2022-01-20
,,,10000,"Wpłata/wypłata bankowa","PRZELEW WŁASNY","ZA FAKTURE",2022-01-21
,,,100000,"Wpłata/wypłata bankowa","PRZELEW EXPRESS ELIXIR PRZYCH.","Przelew rodków",2022-01-21
,,,45000,"Wpłata/wypłata bankowa","PRZELEW EXPRESS ELIXIR PRZYCH.","Przelew rodków",2022-01-21
,,,145000,"Wpłata/wypłata bankowa","PRZELEW WŁASNY",PRZELEW,2022-01-21
